Startup_name,Category,Funding_total_usd,Status,State_code,City,Funding_rounds,Founded_at,Founded_month,Founded_quarter,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Age_first_funding_year,Age_last_funding_year
Daktari Diagnostics,biotechnology," 3,66,19,995 ",1,MA,Cambridge,6,2008/1/1,1,2008-Q1,1,0,1,0,0,0,1,6
Dali Wireless,mobile," 2,32,66,951 ",1,CA,Palo Alto,4,2006/1/1,1,2006-Q1,1,0,0,0,0,0,3,8
Danal d/b/a BilltoMobile,mobile," 1,45,00,000 ",1,CA,San Jose,2,2006/6/1,6,2006-Q2,1,0,1,0,0,0,1,7
DanceJam,social_media," 45,00,000 ",0,CA,San Francisco,2,2007/4/1,4,2007-Q2,1,1,0,1,0,0,0,1
DanceOn,art&music," 40,00,000 ",1,CA,Los Angeles,1,2010/1/1,1,2010-Q1,1,0,0,0,0,0,3,3
Danger,hardware&software," 11,83,00,000 ",1,CA,Palo Alto,5,1999/12/1,12,1999-Q4,1,0,0,1,0,1,1,7
Danger Room Gaming,games," 3,55,000 ",0,CA,Los Angeles,2,2009/12/1,12,2009-Q4,0,1,0,0,0,0,0,0
Dapper,art&music," 30,00,000 ",1,CA,San Francisco,1,2006/10/1,10,2006-Q4,1,0,1,0,0,0,1,1
DApps Fund,finance," 1,50,00,000 ",1,TX,Austin,1,2014/1/1,1,2014-Q1,1,0,0,0,0,0,0,0
Dash,mobile," 19,00,000 ",1,NY,New York,2,2011/1/1,1,2011-Q1,0,0,0,0,0,0,2,3
"Dash Labs, Inc.",mobile," 10,00,000 ",1,NY,New York,1,2012/6/1,6,2012-Q2,0,0,0,0,0,0,1,1
Dashbid,advertising," 25,82,500 ",1,NY,New York,2,2011/1/1,1,2011-Q1,1,0,0,0,0,0,0,3
Dasher,hardware&software," 12,50,000 ",1,NY,New York,1,2013/11/1,11,2013-Q4,0,0,0,0,0,0,1,1
Dashwire,mobile," 38,59,459 ",1,WA,Seattle,2,2006/8/11,8,2006-Q3,1,0,1,0,0,0,3,4
DataArt,hardware&software," 40,00,000 ",1,NY,New York,1,1997/1/1,1,1997-Q1,1,0,0,0,0,0,11,11
Databricks,analytics," 4,70,00,000 ",1,CA,San Francisco,2,2013/1/1,1,2013-Q1,1,0,0,1,0,0,0,1
DataCoup,analytics," 4,40,000 ",1,NY,New York,1,2012/6/6,6,2012-Q2,0,0,0,0,0,0,1,1
